Date, Open, High, Low, Close, Volume
10/25/18, 186.57, 187.48, 182.36, 184.99, 3535175
10/24/18, 192.10, 192.96, 183.97, 184.54, 5003514
10/23/18, 188.80, 194.89, 184.50, 192.55, 8255645
10/22/18, 201.25, 203.40, 199.69, 201.36, 3263250
10/19/18, 200.12, 201.10, 198.37, 199.85, 3167309
10/18/18, 202.34, 202.52, 198.40, 200.38, 2339494
10/17/18, 201.79, 203.77, 200.445, 202.93, 1824202
10/16/18, 200.46, 202.52, 199.23, 202.33, 1939519
10/15/18, 197.82, 200.70, 197.4185, 198.94, 1812792
10/12/18, 200.87, 202.55, 195.93, 198.23, 2798116
10/11/18, 201.15, 202.91, 196.50, 196.73, 3497220
10/10/18, 209.19, 209.19, 201.55, 202.15, 3525211
10/09/18, 212.68, 213.11, 209.635, 210.42, 2947478
10/08/18, 213.13, 214.58, 212.26, 214.37, 1666709
10/05/18, 214.35, 215.03, 211.06, 213.19, 2140502
10/04/18, 214.85, 215.66, 212.035, 213.84, 1682524
10/03/18, 216.00, 217.34, 214.94, 215.76, 2139342
10/02/18, 212.38, 215.84, 212.10, 215.71, 1749361
10/01/18, 212.40, 213.40, 211.31, 212.19, 1829020
09/28/18, 209.53, 211.275, 208.87, 210.71, 2500188
09/27/18, 212.00, 212.87, 210.00, 210.11, 1609765
09/26/18, 211.49, 212.59, 210.64, 211.07, 1677749
09/25/18, 214.13, 214.13, 210.28, 210.64, 2090572
09/24/18, 215.39, 215.865, 212.69, 213.51, 2044993
09/21/18, 217.32, 217.87, 215.61, 216.33, 5563733
09/20/18, 214.70, 217.00, 213.26, 215.27, 2075050
09/19/18, 211.77, 214.1399, 211.63, 213.12, 1884485
09/18/18, 210.24, 211.825, 208.43, 211.53, 1652891
09/17/18, 207.46, 210.19, 207.30, 209.53, 1610393
09/14/18, 208.84, 210.295, 207.15, 207.88, 1721586
09/13/18, 207.34, 209.14, 206.55, 209.05, 2171302
09/12/18, 212.30, 214.76, 205.90, 206.71, 4936955
09/11/18, 211.36, 212.22, 210.00, 211.78, 1967488
09/10/18, 213.68, 216.37, 212.86, 212.93, 2399745
09/07/18, 212.24, 212.97, 209.97, 212.57, 2739156
09/06/18, 212.00, 213.37, 211.07, 212.74, 2363472
09/05/18, 208.29, 211.91, 207.3512, 211.83, 1951460
09/04/18, 210.55, 210.75, 207.545, 208.60, 2108469
08/31/18, 209.57, 211.72, 209.44, 210.92, 1943454
08/30/18, 209.71, 211.09, 209.23, 210.22, 2240787
08/29/18, 209.17, 210.97, 208.51, 210.46, 2110317
08/28/18, 208.97, 210.12, 208.4835, 209.43, 2136657
08/27/18, 206.18, 208.50, 205.85, 208.33, 1777219
08/24/18, 203.28, 205.49, 203.0701, 205.29, 1676634
08/23/18, 203.00, 203.1523, 201.461, 202.75, 1367312
08/22/18, 205.77, 205.77, 203.40, 204.26, 1461295
08/21/18, 205.00, 206.04, 204.39, 205.69, 1709730
08/20/18, 205.72, 205.80, 203.66, 204.60, 2091753
08/17/18, 203.28, 204.99, 201.89, 204.77, 1598888
08/16/18, 202.02, 203.43, 201.82, 203.15, 1640184
08/15/18, 199.25, 201.76, 197.11, 201.39, 2028914
08/14/18, 199.78, 201.08, 199.41, 200.52, 1719047
08/13/18, 202.02, 202.79, 199.50, 199.84, 1587360
08/10/18, 203.81, 204.13, 201.00, 201.96, 1893208
